◇ injected env (10) from .dev.vars // tip: ⌘ enable debugging { debug: true }
Running 192 cases against gpt-5.4-nano lang=en effort=xhigh (threshold=0.7, dataset=evals/datasets/en/classification.json)…
  FAIL  [paraphrase,c2]  var-efc55deb: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-8e6d0916: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-8f5edc33: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [base,c2]  base-8b28a73f: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-8d7da9ce: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-6e787f49: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c2]  var-8076922f: expected=Home Wellness got=<bad_response> rule=<miss>
  FAIL  [base,c3]  base-5e1dc511: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-5124d442: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-b767c50a: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-ad9223b1: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [base,c3]  base-8d6d4ec6: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-5014257f: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-708144db: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-23a9ce87: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [base,c3]  base-3352a8aa: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-8e838f7d: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-4e6acaab: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-61e31e78: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [base,c3]  base-e14efdea: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-14f36af4: expected=Collaborative Sessions got=<bad_response> rule=Collaborative Sessions
  FAIL  [paraphrase,c3]  var-4d9adc8f: expected=Collaborative Sessions got=<bad_response> rule=<miss>
  FAIL  [paraphrase,c3]  var-f96683c0: expected=Collaborative Sessions got=<bad_response> rule=Collaborative Sessions
  FAIL  [base,c4]  base-2c1fda20: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-e53e169a: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-a2c82953: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-b641223f: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [base,c4]  base-f3b5ef40: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-1a08b54b: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-ef4f5827: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-cf9e7bfa: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [base,c4]  base-5e146514: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-e3640ae3: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-a70432f0: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-80823c56: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [base,c4]  base-1d699407: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-ce8f3305: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-ba96308d: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-830f9873: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [base,c4]  base-590116f7: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
  FAIL  [paraphrase,c4]  var-378dcc58: expected=Outdoor Errands got=<bad_response> rule=Outdoor Errands
